08/12/79,WALKING ON THE MOON,1
15/12/79,ANOTHER BRICK IN THE WALL (PART 2),5
19/01/80,BRASS IN POCKET,2
02/02/80,THE SPECIAL A.K.A. LIVE! EP,2
16/02/80,COWARD OF THE COUNTY,2
01/03/80,ATOMIC,2
15/03/80,TOGETHER WE ARE BEAUTIFUL,1
22/03/80,GOING UNDERGROUND/DREAMS OF CHILDREN,3
12/04/80,WORKING MY WAY BACK TO YOU - FORGIVE ME GIRL (MEDLEY),2
26/04/80,CALL ME,1
03/05/80,GENO,2
17/05/80,WHAT'S ANOTHER YEAR,2
31/05/80,THEME FROM M*A*S*H (SUICIDE IS PAINLESS),3
21/06/80,CRYING,3
12/07/80,XANADU,2
26/07/80,USE IT UP AND WEAR IT OUT,2
09/08/80,THE WINNER TAKES IT ALL,2
23/08/80,ASHES TO ASHES,2
06/09/80,START,1
13/09/80,FEELS LIKE I'M IN LOVE,2
27/09/80,DON'T STAND SO CLOSE TO ME,4
25/10/80,WOMAN IN LOVE,3
15/11/80,THE TIDE IS HIGH,2
29/11/80,SUPER TROUPER,3
20/12/80,(JUST LIKE) STARTING OVER,1
27/12/80,THERE'S NO ONE QUITE LIKE GRANDMA,2
10/01/81,IMAGINE,4
07/02/81,WOMAN,2
21/02/81,SHADDAP YOU FACE,3
14/03/81,JEALOUS GUY,2
28/03/81,THIS OLE HOUSE,3
18/04/81,MAKING YOUR MIND UP,3
09/05/81,STAND AND DELIVER,5
13/06/81,BEING WITH YOU,2
27/06/81,ONE DAY IN YOUR LIFE,2
11/07/81,GHOST TOWN,3
01/08/81,GREEN DOOR,4
29/08/81,JAPANESE BOY,1
05/09/81,TAINTED LOVE,2
19/09/81,PRINCE CHARMING,4
17/10/81,IT'S MY PARTY,4
14/11/81,EVERY LITTLE THING SHE DOES IS MAGIC,1
21/11/81,UNDER PRESSURE,2
05/12/81,BEGIN THE BEGUINE (VOLVER A EMPEZAR),1
12/12/81,DON'T YOU WANT ME,5
16/01/82,THE LAND OF MAKE BELIEVE,2
30/01/82,OH JULIE,1
06/02/82,THE MODEL/COMPUTER LOVE,1
13/02/82,A TOWN CALLED MALICE/PRECIOUS,3
06/03/82,THE LION SLEEPS TONIGHT,3
27/03/82,SEVEN TEARS,3
17/04/82,MY CAMERA NEVER LIES,1
24/04/82,EBONY AND IVORY,3
15/05/82,A LITTLE PEACE,2
29/05/82,HOUSE OF FUN,2
12/06/82,GOODY TWO SHOES,2
26/06/82,I'VE NEVER BEEN TO ME,1
03/07/82,HAPPY TALK,2
17/07/82,FAME,3
07/08/82,COME ON EILEEN,4
04/09/82,EYE OF THE TIGER,4
02/10/82,PASS THE DUTCHIE,3
23/10/82,DO YOU REALLY WANT TO HURT ME,3
13/11/82,I DON'T WANNA DANCE,3
04/12/82,BEAT SURRENDER,2
18/12/82,SAVE YOUR LOVE,4
15/01/83,YOU CAN'T HURRY LOVE,2
29/01/83,DOWN UNDER,3
19/02/83,TOO SHY,2
05/03/83,BILLIE JEAN,1
12/03/83,TOTAL ECLIPSE OF THE HEART,2
26/03/83,IS THERE SOMETHING I SHOULD KNOW,2
09/04/83,LET'S DANCE,3
30/04/83,TRUE.,4
28/05/83,CANDY GIRL,1
04/06/83,EVERY BREATH YOU TAKE,4
02/07/83,BABY JANE,3
23/07/83,WHEREVER I LAY MY HAT (THAT'S MY HOME),3
13/08/83,GIVE IT UP,3
03/09/83,RED RED WINE,3
24/09/83,KARMA CHAMELEON,6
05/11/83,UPTOWN GIRL,5
10/12/83,ONLY YOU,5
14/01/84,PIPES OF PEACE,2
28/01/84,RELAX,5
03/03/84,99 RED BALLOONS,3
24/03/84,HELLO,6
05/05/84,THE REFLEX,4
02/06/84,WAKE ME UP BEFORE YOU GO-GO,2
16/06/84,TWO TRIBES,9
18/08/84,CARELESS WHISPER,3
08/09/84,I JUST CALLED TO SAY I LOVE YOU,6
20/10/84,FREEDOM,3
10/11/84,I FEEL FOR YOU,3
01/12/84,I SHOULD HAVE KNOWN BETTER,1
08/12/84,THE POWER OF LOVE,1
15/12/84,DO THEY KNOW IT'S CHRISTMAS?,5
19/01/85,I WANT TO KNOW WHAT LOVE IS,3
09/02/85,I KNOW HIM SO WELL,4
09/03/85,YOU SPIN ME ROUND (LIKE A RECORD),2
23/03/85,EASY LOVER,4
20/04/85,WE ARE THE WORLD,2
04/05/85,MOVE CLOSER,1
11/05/85,19,5
15/06/85,YOU'LL NEVER WALK ALONE,2
29/06/85,FRANKIE,4
27/07/85,THERE MUST BE AN ANGEL (PLAYING WITH MY HEART),1
03/08/85,INTO THE GROOVE,4
31/08/85,I GOT YOU BABE,1
07/09/85,DANCING IN THE STREETS,4
05/10/85,IF I WAS,1
12/10/85,THE POWER OF LOVE,5
16/11/85,A GOOD HEART,2
30/11/85,I'M YOUR MAN,2
14/12/85,SAVING ALL MY LOVE FOR YOU,2
28/12/85,MERRY CHRISTMAS EVERYONE,2
11/01/86,WEST END GIRLS,2
25/01/86,THE SUN ALWAYS SHINES ON TV,2
08/02/86,"WHEN THE GOING GETS TOUGH, THE TOUGH GET GOING",4
08/03/86,CHAIN REACTION,3
29/03/86,LIVING DOLL,3
19/04/86,A DIFFERENT CORNER,3
10/05/86,ROCK ME AMADEUS,1
17/05/86,THE CHICKEN SONG,3
07/06/86,SPIRIT IN THE SKY,3
28/06/86,THE EDGE OF HEAVEN/WHERE DID YOUR HEART GO,2
12/07/86,PAPA DON'T PREACH,3
02/08/86,THE LADY IN RED,3
23/08/86,I WANT TO WAKE UP WITH YOU,3
13/09/86,DON'T LEAVE ME THIS WAY,4
11/10/86,TRUE BLUE,1
18/10/86,EVERY LOSER WINS,3
08/11/86,TAKE MY BREATH AWAY (LOVE THEME FROM 'TOP GUN'),4
06/12/86,THE FINAL COUNTDOWN,2
20/12/86,CARAVAN OF LOVE,1
27/12/86,REET PETITE (THE SWEETEST GIRL IN TOWN),4
24/01/87,JACK YOUR BODY,2
07/02/87,I KNEW YOU WERE WAITING (FOR ME),2
21/02/87,STAND BY ME,3
14/03/87,EVERYTHING I OWN,2
28/03/87,RESPECTABLE,1
04/04/87,LET IT BE,3
25/04/87,LA ISLA BONITA,2
09/05/87,NOTHING'S GONNA STOP US NOW,4
06/06/87,I WANNA DANCE WITH SOMEBODY (WHO LOVES ME),2
20/06/87,STAR TREKKIN',2
04/07/87,IT'S A SIN,3
25/07/87,WHO'S THAT GIRL,1
01/08/87,LA BAMBA,2
15/08/87,I JUST CAN'T STOP LOVING YOU,2
29/08/87,NEVER GONNA GIVE YOU UP,5
03/10/87,PUMP UP THE VOLUME / ANITINA (THE FIRST TIME I SEE SHE DANCE),2
17/10/87,YOU WIN AGAIN,4
14/11/87,CHINA IN YOUR HAND,5
19/12/87,ALWAYS ON MY MIND,4
16/01/88,HEAVEN IS A PLACE ON EARTH,2
30/01/88,I THINK WE'RE ALONE NOW,3
20/02/88,I SHOULD BE SO LUCKY,5
26/03/88,DON'T TURN AROUND,2
09/04/88,HEART,3
30/04/88,THEME FROM S-EXPRESS,2
14/05/88,PERFECT,1
21/05/88,WITH A LITTLE HELP FROM MY FRIENDS/SHE'S LEAVING HOME,4
18/06/88,DOCTORIN' THE TARDIS,1
25/06/88,I OWE YOU NOTHING,2
09/07/88,NOTHING'S GONNA CHANGE MY LOVE FOR YOU,4
06/08/88,THE ONLY WAY IS UP,5
10/09/88,A GROOVY KIND OF LOVE,2
24/09/88,"HE AIN'T HEAVY, HE'S MY BROTHER",2
